ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-08-16,4.193633946574178,0.42729091770287486,7.8959702643127185,4.193633946574178,4.193633946574178,0.15266594748389767,0.15266594748389767,0.15266594748389767,0.15266594748389767,0.15266594748389767,0.15266594748389767,0.0,0.0,0.0,4.346299894058076
2021-08-23,4.19732973352089,0.13623982838666726,7.285563016386528,4.19732973352089,4.19732973352089,-0.5197865690347712,-0.5197865690347712,-0.5197865690347712,-0.5197865690347712,-0.5197865690347712,-0.5197865690347712,0.0,0.0,0.0,3.677543164486119
2021-08-30,4.201025520685196,-0.016245327951635434,6.924415885413995,4.201025520685196,4.201025520685196,-0.8486168570573606,-0.8486168570573606,-0.8486168570573606,-0.8486168570573606,-0.8486168570573606,-0.8486168570573606,0.0,0.0,0.0,3.3524086636278354
2021-09-06,4.204721307849502,0.05144286558626348,7.56298458335199,4.204721307849502,4.204721307849502,-0.6460179276706375,-0.6460179276706375,-0.6460179276706375,-0.6460179276706375,-0.6460179276706375,-0.6460179276706375,0.0,0.0,0.0,3.558703380178864
2021-09-13,4.208417095013807,0.6237007009070702,7.576140291088616,4.208417095013807,4.208417095013807,-0.28007144497874037,-0.28007144497874037,-0.28007144497874037,-0.28007144497874037,-0.28007144497874037,-0.28007144497874037,0.0,0.0,0.0,3.928345650035067
2021-09-20,4.212112882178113,0.5142187972554205,7.385763138417928,4.212112882178113,4.212112882178113,-0.2682826708102954,-0.2682826708102954,-0.2682826708102954,-0.2682826708102954,-0.2682826708102954,-0.2682826708102954,0.0,0.0,0.0,3.9438302113678176
2021-09-27,4.215808669342419,0.2348093729167197,6.957938292243196,4.215808669342419,4.215808669342419,-0.6587555578282747,-0.6587555578282747,-0.6587555578282747,-0.6587555578282747,-0.6587555578282747,-0.6587555578282747,0.0,0.0,0.0,3.5570531115141444
2021-10-04,4.219504456506725,-0.30084011850708664,6.674562929438433,4.219504456506725,4.219504456506725,-0.9675712425362335,-0.9675712425362335,-0.9675712425362335,-0.9675712425362335,-0.9675712425362335,-0.9675712425362335,0.0,0.0,0.0,3.2519332139704913
2021-10-11,4.223200243704349,-0.135276587452,7.045795121004813,4.223200243704349,4.223200243704349,-0.7733750201834616,-0.7733750201834616,-0.7733750201834616,-0.7733750201834616,-0.7733750201834616,-0.7733750201834616,0.0,0.0,0.0,3.4498252235208877
2021-10-18,4.226896030901973,0.3159650170617818,7.612568893191644,4.226896030901973,4.226896030901973,-0.2412425424739396,-0.2412425424739396,-0.2412425424739396,-0.2412425424739396,-0.2412425424739396,-0.2412425424739396,0.0,0.0,0.0,3.9856534884280337
2021-10-25,4.230591818099598,0.6794398311063216,7.98329937479618,4.230591818099598,4.230591818099598,0.08360397123074859,0.08360397123074859,0.08360397123074859,0.08360397123074859,0.08360397123074859,0.08360397123074859,0.0,0.0,0.0,4.314195789330347
2021-11-01,4.234287605297223,0.6734759047867933,7.709158758215521,4.234287605297223,4.234287605297223,-0.03618259350718295,-0.03618259350718295,-0.03618259350718295,-0.03618259350718295,-0.03618259350718295,-0.03618259350718295,0.0,0.0,0.0,4.19810501179004
2021-11-08,4.237983392494847,0.264059003362839,7.309722106061505,4.237983392494847,4.237983392494847,-0.2243224294015637,-0.2243224294015637,-0.2243224294015637,-0.2243224294015637,-0.2243224294015637,-0.2243224294015637,0.0,0.0,0.0,4.013660963093283
2021-11-15,4.241679179692471,0.7252256066790905,7.888646983050034,4.241679179692471,4.241679179692471,0.03220796130474557,0.03220796130474557,0.03220796130474557,0.03220796130474557,0.03220796130474557,0.03220796130474557,0.0,0.0,0.0,4.273887140997217
2021-11-22,4.245374966686066,1.6190227337924818,8.647159996069409,4.245374966686066,4.245374966686066,0.7028650441024831,0.7028650441024831,0.7028650441024831,0.7028650441024831,0.7028650441024831,0.7028650441024831,0.0,0.0,0.0,4.948240010788549
2021-11-29,4.24907075367966,1.8859946528854243,8.79396936293747,4.24907075367966,4.24907075367966,1.1821968955532869,1.1821968955532869,1.1821968955532869,1.1821968955532869,1.1821968955532869,1.1821968955532869,0.0,0.0,0.0,5.431267649232947
2021-12-06,4.252766540673255,1.5127508442186703,8.895426618497943,4.252766540673255,4.252766540673255,0.9754070665624919,0.9754070665624919,0.9754070665624919,0.9754070665624919,0.9754070665624919,0.9754070665624919,0.0,0.0,0.0,5.228173607235747
2021-12-13,4.256462327666848,1.1717320134515306,8.384996018839907,4.256462327666848,4.256462327666848,0.29055885676082976,0.29055885676082976,0.29055885676082976,0.29055885676082976,0.29055885676082976,0.29055885676082976,0.0,0.0,0.0,4.547021184427678
2021-12-20,4.260158114660443,0.6433559361207778,7.789252145152212,4.260158114660443,4.260158114660443,-0.16612612957971384,-0.16612612957971384,-0.16612612957971384,-0.16612612957971384,-0.16612612957971384,-0.16612612957971384,0.0,0.0,0.0,4.094031985080729
2021-12-27,4.263853930500748,0.9274017062109643,7.915556913492454,4.263853930500748,4.263853930500748,0.054434589698603514,0.054434589698603514,0.054434589698603514,0.054434589698603514,0.054434589698603514,0.054434589698603514,0.0,0.0,0.0,4.318288520199351
2022-01-03,4.267549746341054,1.4626783003325061,8.416634097517397,4.267549746341054,4.267549746341054,0.7115389526587718,0.7115389526587718,0.7115389526587718,0.7115389526587718,0.7115389526587718,0.7115389526587718,0.0,0.0,0.0,4.979088698999825
2022-01-10,4.27124556218136,1.8289417612639196,8.963443922060208,4.27124556218136,4.27124556218136,1.2081758308598858,1.2081758308598858,1.2081758308598858,1.2081758308598858,1.2081758308598858,1.2081758308598858,0.0,0.0,0.0,5.479421393041245
2022-01-17,4.274941378021666,1.982357154065571,9.23811843226179,4.274941378021666,4.274941378021666,1.2246940939427207,1.2246940939427207,1.2246940939427207,1.2246940939427207,1.2246940939427207,1.2246940939427207,0.0,0.0,0.0,5.499635471964386
2022-01-24,4.278637193861972,1.487913982740097,8.922228758707508,4.278637193861972,4.278637193861972,0.9156368077836399,0.9156368077836399,0.9156368077836399,0.9156368077836399,0.9156368077836399,0.9156368077836399,0.0,0.0,0.0,5.194274001645612
2022-01-31,4.282333009702278,1.1155512493781798,8.385136273235311,4.282333009702278,4.282333009702278,0.5590196342270471,0.5590196342270471,0.5590196342270471,0.5590196342270471,0.5590196342270471,0.5590196342270471,0.0,0.0,0.0,4.841352643929325
2022-02-07,4.286028825589073,1.0047739644359637,7.978048053050332,4.286028825589073,4.286028825589073,0.21214388118617408,0.21214388118617408,0.21214388118617408,0.21214388118617408,0.21214388118617408,0.21214388118617408,0.0,0.0,0.0,4.498172706775247
2022-02-14,4.289724641475868,0.6828856519584091,7.798382433603193,4.289724641475868,4.289724641475868,-0.1948918082540264,-0.1948918082540264,-0.1948918082540264,-0.1948918082540264,-0.1948918082540264,-0.1948918082540264,0.0,0.0,0.0,4.094832833221841
2022-02-21,4.2934204573626635,0.10580164184674087,7.181393957485584,4.2934204573626635,4.2934204573626635,-0.5612168891404118,-0.5612168891404118,-0.5612168891404118,-0.5612168891404118,-0.5612168891404118,-0.5612168891404118,0.0,0.0,0.0,3.7322035682222516
2022-02-28,4.297116273249459,-0.05045555800774074,7.174065084340108,4.297116273249459,4.297116273249459,-0.6224273542276747,-0.6224273542276747,-0.6224273542276747,-0.6224273542276747,-0.6224273542276747,-0.6224273542276747,0.0,0.0,0.0,3.6746889190217846
2022-03-07,4.3008120891362545,0.3177486662213653,7.450937217931559,4.3008120891362545,4.3008120891362545,-0.3040331029809547,-0.3040331029809547,-0.3040331029809547,-0.3040331029809547,-0.3040331029809547,-0.3040331029809547,0.0,0.0,0.0,3.9967789861552996
2022-03-14,4.3045079050230495,0.581327344364,8.051051571480324,4.3045079050230495,4.3045079050230495,0.08045955064245221,0.08045955064245221,0.08045955064245221,0.08045955064245221,0.08045955064245221,0.08045955064245221,0.0,0.0,0.0,4.384967455665501
2022-03-21,4.30820372091006,0.5668481217741551,7.933864106117549,4.30820372091006,4.30820372091006,0.13009798153272964,0.13009798153272964,0.13009798153272964,0.13009798153272964,0.13009798153272964,0.13009798153272964,0.0,0.0,0.0,4.43830170244279
2022-03-28,4.311899536797072,0.6168546209196405,7.771509055584311,4.311899536797072,4.311899536797072,-0.17748665617691411,-0.17748665617691411,-0.17748665617691411,-0.17748665617691411,-0.17748665617691411,-0.17748665617691411,0.0,0.0,0.0,4.134412880620158
