ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,balance_promedio_norm,balance_promedio_norm_lower,balance_promedio_norm_upper,churn_rate_norm,churn_rate_norm_lower,churn_rate_norm_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,productos_activos_norm,productos_activos_norm_lower,productos_activos_norm_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-09-18,79877794.04416998,61849150.04420654,210275326.10725102,79877794.04416998,79877794.04416998,56690743.9431051,56690743.9431051,56690743.9431051,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,46333518.834331304,46333518.834331304,46333518.834331304,0.0,0.0,0.0,136568537.98727506
2023-09-25,80352580.5572971,45007518.34874026,199593842.98800942,80352580.5572971,80352580.5572971,40632787.34880722,40632787.34880722,40632787.34880722,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,30275562.24003343,30275562.24003343,30275562.24003343,0.0,0.0,0.0,120985367.90610433
2023-10-02,80827367.07042423,29782412.24393859,179321479.81973755,80827367.07042423,80827367.07042423,22133757.109011553,22133757.109011553,22133757.109011553,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,11776532.000237757,11776532.000237757,11776532.000237757,0.0,0.0,0.0,102961124.17943579
2023-10-09,81302153.61905882,14538099.31174533,157289305.2238302,81302153.61905882,81302153.61905882,4442438.587886653,4442438.587886653,4442438.587886653,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-5914786.520887145,-5914786.520887145,-5914786.520887145,0.0,0.0,0.0,85744592.20694546
2023-10-16,81776940.1676934,2065867.3190157337,152372705.28609377,81776940.1676934,81776940.1676934,-10033322.05397388,-10033322.05397388,-10033322.05397388,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-20390547.162747674,-20390547.162747674,-20390547.162747674,0.0,0.0,0.0,71743618.11371952
2023-10-23,82251726.71632798,-11163102.459689198,137508965.00390196,82251726.71632798,82251726.71632798,-18026500.47051606,-18026500.47051606,-18026500.47051606,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-28383725.579289857,-28383725.579289857,-28383725.579289857,0.0,0.0,0.0,64225226.245811924
2023-10-30,82726513.29505786,-10778652.407075958,136950590.74247283,82726513.29505786,82726513.29505786,-17140048.44601896,-17140048.44601896,-17140048.44601896,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-27497273.554792758,-27497273.554792758,-27497273.554792758,0.0,0.0,0.0,65586464.8490389
2023-11-06,83201299.87378773,542409.8252030958,146850433.98921984,83201299.87378773,83201299.87378773,-8969931.511011846,-8969931.511011846,-8969931.511011846,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-19327156.619785644,-19327156.619785644,-19327156.619785644,0.0,0.0,0.0,74231368.36277589
2023-11-13,83676086.45251761,9006202.654615693,156589993.93914667,83676086.45251761,83676086.45251761,605040.3289936738,605040.3289936738,605040.3289936738,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-9752184.779780123,-9752184.779780123,-9752184.779780123,0.0,0.0,0.0,84281126.78151129
2023-11-20,84150873.02493307,12484070.03779009,157983363.73281318,84150873.02493307,84150873.02493307,5184972.101447754,5184972.101447754,5184972.101447754,-7999307.3209477505,-7999307.3209477505,-7999307.3209477505,18356532.429721545,18356532.429721545,18356532.429721545,10357225.108773796,10357225.108773796,10357225.108773796,0.0,0.0,0.0,-5172253.007326041,-5172253.007326041,-5172253.007326041,0.0,0.0,0.0,89335845.12638083
